method,noise_pm,n_total,threshold,conv_fmax_pct,conv_fnorm_pct,conv_fmax_nosad_pct,conv_fnorm_nosad_pct,median_steps,median_wall_s,median_calls
GAD dt=0.004 (5k),200,287,0.01,42.1602787456446,51.56794425087108,42.1602787456446,52.613240418118465,5000.0,308.0006341934204,5000.0
GAD dt=0.004 (5k),200,287,0.005,0.0,6.620209059233449,0.0,6.620209059233449,5000.0,308.0006341934204,5000.0
GAD dt=0.004 (5k),200,287,0.001,0.0,0.0,0.0,0.0,5000.0,308.0006341934204,5000.0
GAD dt=0.004 (5k),200,287,0.0001,0.0,0.0,0.0,0.0,5000.0,308.0006341934204,5000.0
GAD dt=0.005 (5k),10,287,0.05,98.25783972125436,98.60627177700349,99.65156794425087,100.0,104.0,6.462916135787964,104.0
GAD dt=0.005 (5k),10,287,0.01,89.19860627177701,95.81881533101046,89.19860627177701,96.16724738675958,104.0,6.462916135787964,104.0
GAD dt=0.005 (5k),10,287,0.005,0.0,16.72473867595819,0.0,16.72473867595819,104.0,6.462916135787964,104.0
GAD dt=0.005 (5k),10,287,0.001,0.0,0.0,0.0,0.0,104.0,6.462916135787964,104.0
GAD dt=0.005 (5k),10,287,0.0001,0.0,0.0,0.0,0.0,104.0,6.462916135787964,104.0
GAD dt=0.005 (5k),30,287,0.05,97.90940766550523,98.25783972125436,99.30313588850174,99.65156794425087,213.0,13.157577514648438,213.0
GAD dt=0.005 (5k),30,287,0.01,88.50174216027875,95.47038327526133,88.50174216027875,95.81881533101046,213.0,13.157577514648438,213.0
GAD dt=0.005 (5k),30,287,0.005,0.0,17.770034843205575,0.0,17.770034843205575,213.0,13.157577514648438,213.0
GAD dt=0.005 (5k),30,287,0.001,0.0,0.0,0.0,0.0,213.0,13.157577514648438,213.0
GAD dt=0.005 (5k),30,287,0.0001,0.0,0.0,0.0,0.0,213.0,13.157577514648438,213.0
GAD dt=0.005 (5k),50,287,0.05,94.77351916376307,96.16724738675958,96.16724738675958,98.25783972125436,305.0,19.02056050300598,305.0
GAD dt=0.005 (5k),50,287,0.01,85.71428571428571,91.98606271777004,85.71428571428571,92.33449477351917,305.0,19.02056050300598,305.0
GAD dt=0.005 (5k),50,287,0.005,0.0,13.937282229965156,0.0,13.937282229965156,305.0,19.02056050300598,305.0
GAD dt=0.005 (5k),50,287,0.001,0.0,0.0,0.0,0.0,305.0,19.02056050300598,305.0
GAD dt=0.005 (5k),50,287,0.0001,0.0,0.0,0.0,0.0,305.0,19.02056050300598,305.0
GAD dt=0.005 (5k),100,287,0.05,82.57839721254355,87.8048780487805,85.01742160278745,93.37979094076655,557.0,34.281211376190186,557.0
GAD dt=0.005 (5k),100,287,0.01,71.77700348432056,78.397212543554,71.77700348432056,79.09407665505226,557.0,34.281211376190186,557.0
GAD dt=0.005 (5k),100,287,0.005,0.0,11.149825783972126,0.0,11.149825783972126,557.0,34.281211376190186,557.0
GAD dt=0.005 (5k),100,287,0.001,0.0,0.0,0.0,0.0,557.0,34.281211376190186,557.0
GAD dt=0.005 (5k),100,287,0.0001,0.0,0.0,0.0,0.0,557.0,34.281211376190186,557.0
GAD dt=0.005 (5k),150,287,0.05,71.0801393728223,79.44250871080139,75.60975609756098,89.54703832752614,1036.0,63.736918926239014,1036.0
GAD dt=0.005 (5k),150,287,0.01,57.142857142857146,63.76306620209059,57.142857142857146,65.15679442508711,1036.0,63.736918926239014,1036.0
GAD dt=0.005 (5k),150,287,0.005,0.0,9.059233449477352,0.0,9.40766550522648,1036.0,63.736918926239014,1036.0
GAD dt=0.005 (5k),150,287,0.001,0.0,0.0,0.0,0.0,1036.0,63.736918926239014,1036.0
GAD dt=0.005 (5k),150,287,0.0001,0.0,0.0,0.0,0.0,1036.0,63.736918926239014,1036.0
GAD dt=0.005 (5k),200,287,0.05,63.066202090592334,70.38327526132404,69.33797909407666,85.01742160278745,5000.0,306.8564655780792,5000.0
