wall_s_center,bin,fmax_med,fmax_p25,fmax_p75,n_samples_in_bin,method,noise_pm
1.7009981072877314,20,0.17697803676128387,0.14540424942970276,0.20704085752367973,284.0,GAD dt=0.003 (5k),30
1.953161538297272,21,0.15157119929790497,0.12616746872663498,0.1822516769170761,287.0,GAD dt=0.003 (5k),30
2.242706783940277,22,0.13050931692123413,0.10791197419166565,0.16080280393362045,287.0,GAD dt=0.003 (5k),30
2.575175488616556,23,0.11171038448810577,0.09295234829187393,0.13820447772741318,287.0,GAD dt=0.003 (5k),30
2.9569308144332584,24,0.09661120176315308,0.07913710176944733,0.11826365813612938,287.0,GAD dt=0.003 (5k),30
3.395279226598305,25,0.08306565880775452,0.06766799092292786,0.10095566883683205,287.0,GAD dt=0.003 (5k),30
3.8986103328154758,26,0.07159978151321411,0.05726173706352711,0.0881621316075325,287.0,GAD dt=0.003 (5k),30
4.476557453085672,27,0.061703458428382874,0.04886978678405285,0.07598594576120377,287.0,GAD dt=0.003 (5k),30
5.140181993080805,28,0.05152783915400505,0.04141112416982651,0.06507546827197075,287.0,GAD dt=0.003 (5k),30
5.902185149836502,29,0.04426087066531181,0.03463420830667019,0.056446921080350876,287.0,GAD dt=0.003 (5k),30
6.777151001626587,30,0.03676903247833252,0.02936643362045288,0.048433518037199974,287.0,GAD dt=0.003 (5k),30
7.781825634548344,31,0.03084290586411953,0.025394088588654995,0.040554964914917946,287.0,GAD dt=0.003 (5k),30
8.93543764805882,32,0.026632235385477543,0.0211364203132689,0.034659900702536106,286.0,GAD dt=0.003 (5k),30
10.260066173659641,33,0.022617300041019917,0.017501923255622387,0.030046965461224318,284.0,GAD dt=0.003 (5k),30
11.781063450288183,34,0.0200148094445467,0.014823247911408544,0.026295126881450415,282.0,GAD dt=0.003 (5k),30
13.527540044140883,35,0.016950439661741257,0.012978388462215662,0.02349834516644478,267.0,GAD dt=0.003 (5k),30
15.532921999614459,36,0.01512130070477724,0.011905906489118934,0.02125342283397913,248.0,GAD dt=0.003 (5k),30
17.83559058474993,37,0.014156145043671131,0.010946925729513168,0.019882855005562305,215.0,GAD dt=0.003 (5k),30
20.479616875351343,38,0.01347553264349699,0.010304355062544346,0.019246598705649376,181.0,GAD dt=0.003 (5k),30
23.515605237080855,39,0.013013232499361038,0.010684180771932006,0.019800586625933647,146.0,GAD dt=0.003 (5k),30
27.001661849044613,40,0.014176463708281517,0.010913119651377201,0.020469607785344124,113.0,GAD dt=0.003 (5k),30
31.004506805569168,41,0.013100843410938978,0.0106136545073241,0.02035462437197566,98.0,GAD dt=0.003 (5k),30
35.600751080830136,42,0.013967100996524096,0.011032424634322524,0.02031915169209242,80.0,GAD dt=0.003 (5k),30
40.87836279632643,43,0.014038043096661568,0.010586266871541739,0.02040959056466818,71.0,GAD dt=0.003 (5k),30
46.938350854285375,44,0.016088047996163368,0.011275680735707283,0.02216009795665741,57.0,GAD dt=0.003 (5k),30
53.89669816027922,45,0.016656205989420414,0.011676497990265489,0.023812885396182537,50.0,GAD dt=0.003 (5k),30
61.88658143525377,46,0.018266092985868454,0.013339622411876917,0.02682817354798317,43.0,GAD dt=0.003 (5k),30
71.0609201022428,47,0.017895419150590897,0.013832089491188526,0.02735895663499832,41.0,GAD dt=0.003 (5k),30
