method,noise_pm,n_total,rmsd_threshold,cutoff_scale,rmsd_intended_pct,topo_intended_pct
GAD dt=0.007 (5k),50,280,0.5,1.2,58.57142857142857,90.71428571428571
GAD dt=0.007 (5k),50,280,0.5,1.3,58.57142857142857,91.78571428571429
GAD dt=0.007 (5k),50,280,0.5,1.4,58.57142857142857,89.64285714285714
GAD dt=0.007 (5k),50,280,0.7,1.1,63.57142857142857,93.21428571428571
GAD dt=0.007 (5k),50,280,0.7,1.2,63.57142857142857,90.71428571428571
GAD dt=0.007 (5k),50,280,0.7,1.3,63.57142857142857,91.78571428571429
GAD dt=0.007 (5k),50,280,0.7,1.4,63.57142857142857,89.64285714285714
GAD dt=0.007 (5k),100,265,0.3,1.1,43.39622641509434,87.54716981132076
GAD dt=0.007 (5k),100,265,0.3,1.2,43.39622641509434,84.90566037735849
GAD dt=0.007 (5k),100,265,0.3,1.3,43.39622641509434,86.0377358490566
GAD dt=0.007 (5k),100,265,0.3,1.4,43.39622641509434,83.77358490566037
GAD dt=0.007 (5k),100,265,0.4,1.1,46.0377358490566,87.54716981132076
GAD dt=0.007 (5k),100,265,0.4,1.2,46.0377358490566,84.90566037735849
GAD dt=0.007 (5k),100,265,0.4,1.3,46.0377358490566,86.0377358490566
GAD dt=0.007 (5k),100,265,0.4,1.4,46.0377358490566,83.77358490566037
GAD dt=0.007 (5k),100,265,0.5,1.1,52.45283018867924,87.54716981132076
GAD dt=0.007 (5k),100,265,0.5,1.2,52.45283018867924,84.90566037735849
GAD dt=0.007 (5k),100,265,0.5,1.3,52.45283018867924,86.0377358490566
GAD dt=0.007 (5k),100,265,0.5,1.4,52.45283018867924,83.77358490566037
GAD dt=0.007 (5k),100,265,0.7,1.1,57.35849056603774,87.54716981132076
GAD dt=0.007 (5k),100,265,0.7,1.2,57.35849056603774,84.90566037735849
GAD dt=0.007 (5k),100,265,0.7,1.3,57.35849056603774,86.0377358490566
GAD dt=0.007 (5k),100,265,0.7,1.4,57.35849056603774,83.77358490566037
GAD dt=0.007 (5k),150,253,0.3,1.1,34.78260869565217,72.33201581027669
GAD dt=0.007 (5k),150,253,0.3,1.2,34.78260869565217,69.96047430830039
GAD dt=0.007 (5k),150,253,0.3,1.3,34.78260869565217,71.14624505928853
GAD dt=0.007 (5k),150,253,0.3,1.4,34.78260869565217,69.1699604743083
GAD dt=0.007 (5k),150,253,0.4,1.1,36.758893280632414,72.33201581027669
GAD dt=0.007 (5k),150,253,0.4,1.2,36.758893280632414,69.96047430830039
GAD dt=0.007 (5k),150,253,0.4,1.3,36.758893280632414,71.14624505928853
GAD dt=0.007 (5k),150,253,0.4,1.4,36.758893280632414,69.1699604743083
GAD dt=0.007 (5k),150,253,0.5,1.1,43.47826086956522,72.33201581027669
GAD dt=0.007 (5k),150,253,0.5,1.2,43.47826086956522,69.96047430830039
GAD dt=0.007 (5k),150,253,0.5,1.3,43.47826086956522,71.14624505928853
GAD dt=0.007 (5k),150,253,0.5,1.4,43.47826086956522,69.1699604743083
GAD dt=0.007 (5k),150,253,0.7,1.1,48.22134387351779,72.33201581027669
GAD dt=0.007 (5k),150,253,0.7,1.2,48.22134387351779,69.96047430830039
GAD dt=0.007 (5k),150,253,0.7,1.3,48.22134387351779,71.14624505928853
GAD dt=0.007 (5k),150,253,0.7,1.4,48.22134387351779,69.1699604743083
GAD dt=0.007 (5k),200,241,0.3,1.1,24.896265560165975,53.941908713692946
GAD dt=0.007 (5k),200,241,0.3,1.2,24.896265560165975,52.28215767634855
GAD dt=0.007 (5k),200,241,0.3,1.3,24.896265560165975,53.52697095435685
GAD dt=0.007 (5k),200,241,0.3,1.4,24.896265560165975,52.697095435684645
GAD dt=0.007 (5k),200,241,0.4,1.1,26.141078838174273,53.941908713692946
GAD dt=0.007 (5k),200,241,0.4,1.2,26.141078838174273,52.28215767634855
GAD dt=0.007 (5k),200,241,0.4,1.3,26.141078838174273,53.52697095435685
GAD dt=0.007 (5k),200,241,0.4,1.4,26.141078838174273,52.697095435684645
GAD dt=0.007 (5k),200,241,0.5,1.1,31.95020746887967,53.941908713692946
GAD dt=0.007 (5k),200,241,0.5,1.2,31.95020746887967,52.28215767634855
GAD dt=0.007 (5k),200,241,0.5,1.3,31.95020746887967,53.52697095435685
GAD dt=0.007 (5k),200,241,0.5,1.4,31.95020746887967,52.697095435684645
GAD dt=0.007 (5k),200,241,0.7,1.1,36.09958506224066,53.941908713692946
GAD dt=0.007 (5k),200,241,0.7,1.2,36.09958506224066,52.28215767634855
GAD dt=0.007 (5k),200,241,0.7,1.3,36.09958506224066,53.52697095435685
GAD dt=0.007 (5k),200,241,0.7,1.4,36.09958506224066,52.697095435684645
Sella libdef,10,283,0.3,1.1,46.28975265017668,92.93286219081273
Sella libdef,10,283,0.3,1.2,46.28975265017668,90.45936395759718
Sella libdef,10,283,0.3,1.3,46.28975265017668,91.51943462897526
Sella libdef,10,283,0.3,1.4,46.28975265017668,89.04593639575971
Sella libdef,10,283,0.4,1.1,49.11660777385159,92.93286219081273
Sella libdef,10,283,0.4,1.2,49.11660777385159,90.45936395759718
Sella libdef,10,283,0.4,1.3,49.11660777385159,91.51943462897526
Sella libdef,10,283,0.4,1.4,49.11660777385159,89.04593639575971
Sella libdef,10,283,0.5,1.1,57.95053003533569,92.93286219081273
Sella libdef,10,283,0.5,1.2,57.95053003533569,90.45936395759718
Sella libdef,10,283,0.5,1.3,57.95053003533569,91.51943462897526
Sella libdef,10,283,0.5,1.4,57.95053003533569,89.04593639575971
Sella libdef,10,283,0.7,1.1,63.25088339222615,92.93286219081273
Sella libdef,10,283,0.7,1.2,63.25088339222615,90.45936395759718
Sella libdef,10,283,0.7,1.3,63.25088339222615,91.51943462897526
Sella libdef,10,283,0.7,1.4,63.25088339222615,89.04593639575971
Sella libdef,30,283,0.3,1.1,46.996466431095406,93.28621908127208
Sella libdef,30,283,0.3,1.2,46.996466431095406,90.45936395759718
Sella libdef,30,283,0.3,1.3,46.996466431095406,91.87279151943463
Sella libdef,30,283,0.3,1.4,46.996466431095406,89.39929328621908
Sella libdef,30,283,0.4,1.1,49.46996466431096,93.28621908127208
Sella libdef,30,283,0.4,1.2,49.46996466431096,90.45936395759718
Sella libdef,30,283,0.4,1.3,49.46996466431096,91.87279151943463
Sella libdef,30,283,0.4,1.4,49.46996466431096,89.39929328621908
Sella libdef,30,283,0.5,1.1,57.95053003533569,93.28621908127208
Sella libdef,30,283,0.5,1.2,57.95053003533569,90.45936395759718
Sella libdef,30,283,0.5,1.3,57.95053003533569,91.87279151943463
Sella libdef,30,283,0.5,1.4,57.95053003533569,89.39929328621908
Sella libdef,30,283,0.7,1.1,63.25088339222615,93.28621908127208
Sella libdef,30,283,0.7,1.2,63.25088339222615,90.45936395759718
Sella libdef,30,283,0.7,1.3,63.25088339222615,91.87279151943463
Sella libdef,30,283,0.7,1.4,63.25088339222615,89.39929328621908
Sella libdef,50,281,0.3,1.1,45.55160142348755,91.45907473309609
Sella libdef,50,281,0.3,1.2,45.55160142348755,89.32384341637011
Sella libdef,50,281,0.3,1.3,45.55160142348755,90.0355871886121
Sella libdef,50,281,0.3,1.4,45.55160142348755,87.54448398576513
Sella libdef,50,281,0.4,1.1,47.686832740213525,91.45907473309609
Sella libdef,50,281,0.4,1.2,47.686832740213525,89.32384341637011
